id;country;capital;code;phone_code
1;Cape Verde;Borders mindshare;open-source Gloves;Table Chief Fantastic
2;Armenia;distributed;Account Fish Program;Car
3;Central African Republic;up Borders;Principal;Republic Georgia
4;Antigua and Barbuda;Cambridgeshire;Shoes Mauritania;Tasty Chief Fresh
5;Brazil;transmit Gateway;Facilitator;white target
6;Guinea-Bissau;Direct users navigate;Corporate Strategist portals;Green salmon Iceland
7;Canada;pixel PNG;Forward e-services;1080p Consultant
8;Italy;Bedfordshire;recontextualize Home Myanmar;hack generate
9;United States Minor Outlying Islands;seamless;Tools Trinidad Baby;Maine
10;Georgia;Berkshire back-end;streamline;Pierre payment Automotive
