id;total_price;is_cashed;from_account;to_account;full_weight;available_weight;arrivel_date;expected_date;details
1;40370;true;Sleek;calculating;72861;27270;2022-05-07T04:18:39;2022-05-07T21:09:48;whiteboard interface Card
2;24225;true;index;virtual Maine;22883;31008;2022-05-07T12:25:30;2022-05-07T20:35:35;EXE
3;63918;false;auxiliary Home;input;89047;44676;2022-05-07T14:21:29;2022-05-07T15:57:58;out-of-the-box
4;97495;true;hierarchy;back-end program;53023;11174;2022-05-07T04:45:37;2022-05-07T05:23:15;deposit asynchronous
5;84954;true;Ohio Riel Account;Tanzania Handcrafted connect;40834;1880;2022-05-07T07:15:56;2022-05-07T10:18:06;Regional deposit
6;67179;true;HDD Switchable;engineer override;7366;54616;2022-05-07T19:28:15;2022-05-07T13:32:30;Granite
7;58294;true;panel hacking;Steel deliverables;44895;20545;2022-05-07T03:52:52;2022-05-07T05:13:58;reboot bypassing
8;20052;false;Profound;withdrawal;70193;66051;2022-05-07T15:13:28;2022-05-07T10:27:53;ROI services ADP
9;42048;true;Tools;Computers redundant;13776;22976;2022-05-07T11:17:09;2022-05-07T00:35:23;XML
10;3441;true;Unbranded;Tactics primary;79309;84713;2022-05-07T09:39:33;2022-05-07T02:15:18;User-centric Gourde
