id;weight;url;description;created_at;img_url;cost;price;details
1;38511;http://cordia.name;Mobility Account;2022-05-07T05:08:45;Practical Plains;94142;67997;context-sensitive
2;96883;https://kristy.info;Applications Secured Generic;2022-05-07T09:45:26;Terrace orange Programmable;93639;87810;Terrace
3;66927;https://harmon.biz;scalable;2022-05-07T20:53:29;indexing;51073;28218;scalable mobile
4;45347;https://domenic.info;mesh;2022-05-07T03:26:06;Avon;13858;12150;calculate Music Handmade
5;73745;https://janie.biz;red;2022-05-07T02:46:48;Table Intranet methodical;16456;71208;primary Tasty
6;26842;http://roberto.info;invoice Quality-focused hack;2022-05-06T23:36:44;wireless Borders;74029;72828;Practical
7;88097;https://nikita.name;explicit;2022-05-07T21:16:47;state;77493;83015;Tasty programming mission-critical
8;37074;http://lonie.info;Montserrat;2022-05-07T19:16:06;Buckinghamshire;17146;79593;Alaska Auto
9;79583;https://anabelle.com;Administrator;2022-05-07T13:31:31;generating;42257;53765;Investor copy
10;1941;http://thelma.net;Intelligent;2022-05-07T18:08:48;transmitting Agent Bulgaria;52279;91441;Account deposit Japan
