id;from_account;to_account;fees;net_amount;details
1;Kentucky;Gorgeous;47193;16431;COM Response needs-based
2;Buckinghamshire Shirt red;disintermediate internet matrix;25283;38698;SQL
3;Cotton Small;payment Zimbabwe;8015;76616;Cambridgeshire
4;e-tailers Technician navigating;high-level Industrial digital;68314;33719;Tools
5;Awesome Bedfordshire JBOD;deliver Forest Fantastic;28653;16350;Fish Island
6;connecting BEAC plum;port capacitor compressing;58674;39123;USB Corporate
7;multi-byte mindshare optical;Tools parsing;88171;97414;even-keeled Account
8;intangible SCSI;Developer;99931;74238;Awesome Facilitator
9;iterate Shilling;Chair Belgium;57896;170;Malaysia
10;ADP Chair green;withdrawal;1616;95961;Granite best-of-breed
